date,UST_10YR,UIVE_SP500VALUEETF,VNQ_VANGREALEST,USFFR,EMB_USDEMRGBOND,LQD_CORPBOND,MUB_MUNIBOND,SHY_1-3USTR,USDJPY,USDGBP,VIG_VANGDIV,IVV_SP500,USDRMB,CRUDOIL,CFE_VIX,EEM_MSCIEMERGING,USDEUR,XLE_ENERGYSPDR,SP500_GSCI,EFA_MSCIEAFE,TIP_TIPSBOND,UST_2YR,USDOIS,CHNGDP,USGDP,EZGDP,US_UNEMP,CHNGDP_Shock,USGDP_Shock,EZGDP_Shock,US_UNEMP_Shock,VNQ_VOL,EMB_VOL,LQD_VOL,MUB_VOL,VIG_VOL,IVV_VOL,EEM_VOL,EFA_VOL,XLE_VOL,SHY_VOL,TIP_VOL
5/5/2015,2.1822,95.0,78.32,0.13,112.5,118.37,109.06,84.78,0.83415,1.51825,80.53,210.34,6.20605,60.4,15.92,42.92,0.893975,81.6395,450.603,24.89,113.4,0.6256,0.128,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.8935770811734993,0.3731889601740214,0.7217548060097538,0.30208475632328996,0.44931058301127424,1.2600198410711951,0.2884094311921882,0.23437149997391243,0.5273040394283958,0.04560701699503133,0.4261807128448913
5/6/2015,2.2526,94.54,78.17,0.13,112.47,117.86,108.66,84.75,0.83705,1.5245,80.31,209.47,6.20035,60.93,16.23,42.39,0.880786,81.32,450.973,24.71,112.49,0.6378,0.128,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.8963927710544897,0.26715164232282956,0.7785049775040012,0.32669741352327947,0.495751954112007,1.4627132322822582,0.3704456775300522,0.2987473849258339,0.7024446953300904,0.04415880432264771,0.6933036852643364
5/7/2015,2.1786,93.74,79.37,0.13,112.3,118.33,108.94,84.72,0.8352,1.52455,80.72,210.29,6.20655,58.94,16.35,42.33,0.887587,80.44,441.849,24.76,112.78,0.634,0.129,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.8958515502016773,0.20255863347631897,0.39608079983605327,0.19817971642613705,0.4362682661000021,1.394177176650626,0.4640366364854695,0.3236819426536261,0.9986573736758818,0.03464101614025728,0.5610436703156387
5/8/2015,2.1429,94.91,80.48,0.13,112.92,119.01,108.905,84.84,0.8347,1.54565,81.65,213.03,6.2094,59.39,15.7,42.87,0.892499,81.76,444.312,25.34,113.25,0.5707,0.129,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,1.0259385946530661,0.23466998102823622,0.41667733319531297,0.18196208397005065,0.5680052816708112,1.617754616712105,0.4342810150130561,0.3211385993617477,0.8012871208231943,0.04604345772444972,0.42015473340340787
5/11/2015,2.2875,95.21,79.27,0.13,112.4,117.81,108.53,84.76,0.83275,1.55865,81.35,212.0,6.2096,59.25,15.83,42.46,0.896459,80.22,442.277,25.16,112.22,0.6187,0.128,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.9323465021110775,0.2375289455956845,0.4849536060273098,0.21732464195913292,0.5660565342842849,1.4489755001011868,0.27915945264462594,0.2697591518373873,0.7039453458877013,0.04472135954138345,0.4978654436706688
5/12/2015,2.2476,94.32,79.51,0.13,111.8,117.64,108.72,84.77,0.8343,1.5671,81.16,211.35,6.2089,60.75,16.1,42.32,0.891783,80.59,450.833,25.02,112.33,0.5949,0.132,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.8217663901612665,0.40089898976650795,0.55448174000504,0.17140595089621302,0.5286492220801775,1.3989710504128718,0.2283199509480053,0.26612027356070783,0.6481357882395269,0.04438468203368468,0.41331585984749436
5/13/2015,2.2949,94.64,78.75,0.13,111.92,117.53,108.53,84.81,0.8392,1.57455,81.18,211.43,6.2046,60.5,15.85,42.4,0.880476,80.38,451.523,24.97,112.16,0.5791,0.122,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.630460149413616,0.44262851240720136,0.6113754983633809,0.1966596043996409,0.3378905148210473,1.0012991560432205,0.22744230037725782,0.21656407827713317,0.6192091730560884,0.04636809246908466,0.4615950606337794
5/14/2015,2.244,94.86,80.27,0.13,112.29,117.93,108.67,84.89,0.83915,1.57765,82.08,213.69,6.20155,59.88,15.6,42.82,0.876424,80.35,451.838,25.24,112.37,0.543,0.125,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.7153880066080048,0.44247033798415486,0.5937844726827551,0.15565988565651645,0.3866910911905214,1.0264501935759966,0.25294268125576524,0.1529051993884487,0.6290866394995193,0.05319774430550525,0.44623984582456766
5/15/2015,2.1557,95.21,81.09,0.13,112.85,118.75,108.73,84.89,0.8383,1.5723,82.29,213.91,6.2061,59.69,15.45,43.15,0.873172,80.67,450.758,25.25,113.15,0.5392,0.127,167874.5,17405.669,2621.34,5.6,167874.5,17405.669,2621.34,5.6,0.915161187987414,0.41697721759804907,0.48241061348106684,0.0993981891313077,0.5334510286860052,1.2368023285440668,0.3479942528272991,0.12755391017143242,0.1840380395372407,0.06308724117589624,0.402405268357094
5/18/2015,2.2406,95.18,80.88,0.13,112.56,117.84,108.37,84.84,0.8334,1.56525,82.44,214.54,6.20425,59.43,14.85,42.71,0.883744,80.74,448.735,25.25,112.55,0.5756,0.128,167874.5,17405.669,2621.34,5.6,0.0,0.0,0.0,0.0,0.9731392500554205,0.4368409321432777,0.4806974100192076,0.15323185048340549,0.6159545437824288,1.4884488569956025,0.3351865152430942,0.1390323703315935,0.17386776583585797,0.05196152421910214,0.38264866392229535
